severity_threshold,feature_set,model_variant,cutoff_method,probability_cutoff,split,train_failure_rate,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,AP,TN,FP,FN,TP,actual_failure_rate,predicted_failure_rate,always_normal_accuracy,rows
7,enhanced_features,balanced,validation_F1,0.35,Test,0.3612271540469974,0.49393939393939396,0.41401734104046245,0.9597989949748744,0.5784957092377587,0.6723344484371843,0.4807156035905501,0.48240863069337564,242,811,24,573,0.3618181818181818,0.8387878787878787,0.6381818181818182,1650
10,enhanced_features,default,fixed_0.5,0.5,Validation,0.21305483028720626,0.7975609756097561,0.5454545454545454,0.018018018018018018,0.03488372093023256,0.6470770694183089,0.29711433727936565,0.29885754027499034,1302,5,327,6,0.2030487804878049,0.006707317073170732,0.796951219512195,1640
10,enhanced_features,default,validation_F1,0.2,Validation,0.21305483028720626,0.5628048780487804,0.2714285714285714,0.6846846846846847,0.3887468030690537,0.6470770694183089,0.29711433727936565,0.29885754027499034,695,612,105,228,0.2030487804878049,0.5121951219512195,0.796951219512195,1640
10,enhanced_features,default,fixed_0.5,0.5,Test,0.21305483028720626,0.7890909090909091,0.6666666666666666,0.0057306590257879654,0.011363636363636364,0.6646441243125744,0.31809336726700926,0.3207436668851096,1300,1,347,2,0.21151515151515152,0.0018181818181818182,0.7884848484848485,1650
10,enhanced_features,default,validation_F1,0.2,Test,0.21305483028720626,0.5551515151515152,0.2839506172839506,0.7249283667621776,0.4080645161290323,0.6646441243125744,0.31809336726700926,0.3207436668851096,663,638,96,253,0.21151515151515152,0.54,0.7884848484848485,1650
10,enhanced_features,balanced,fixed_0.5,0.5,Validation,0.21305483028720626,0.598170731707317,0.2803234501347709,0.6246246246246246,0.3869767441860465,0.6496113558087544,0.2941176780527698,0.29583528990872554,773,534,125,208,0.2030487804878049,0.4524390243902439,0.796951219512195,1640
10,enhanced_features,balanced,validation_F1,0.46,Validation,0.21305483028720626,0.5408536585365854,0.2702407002188184,0.7417417417417418,0.39615076182838815,0.6496113558087544,0.2941176780527698,0.29583528990872554,640,667,86,247,0.2030487804878049,0.5573170731707318,0.796951219512195,1640
10,enhanced_features,balanced,fixed_0.5,0.5,Test,0.21305483028720626,0.6103030303030303,0.303475935828877,0.6504297994269341,0.41385597082953507,0.6667386119119303,0.3146030024268809,0.31651224080412704,780,521,122,227,0.21151515151515152,0.4533333333333333,0.7884848484848485,1650
10,enhanced_features,balanced,validation_F1,0.46,Test,0.21305483028720626,0.5242424242424243,0.2793522267206478,0.7908309455587392,0.4128646222887061,0.6667386119119303,0.3146030024268809,0.31651224080412704,589,712,73,276,0.21151515151515152,0.5987878787878788,0.7884848484848485,1650
11,enhanced_features,default,fixed_0.5,0.5,Validation,0.1569190600522193,0.8542682926829268,0.5,0.008368200836820083,0.01646090534979424,0.6550760216103859,0.23893771130236935,0.24103429101494064,1399,2,237,2,0.14573170731707316,0.0024390243902439024,0.8542682926829268,1640
