scope_kind,scope_name,model,status,threshold,train_rows,valid_rows,test_rows,train_positive_rate,valid_positive_rate,test_positive_rate,accuracy,precision,recall,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive
asset_tag,AST-2017,hist_gradient_boosting,ok,0.052916899852794824,14560,3640,3700,0.12032967032967033,0.1217032967032967,0.12216216216216216,0.4016216216216216,0.168796992481203,0.9933628318584071,0.288560411311054,0.6614335847247047,0.17131296636178156,1037,2211,3,449
asset_tag,AST-2031,prior,ok,0.10734890109890109,14560,3640,3700,0.10734890109890109,0.09752747252747253,0.10621621621621621,0.10621621621621621,0.10621621621621621,1.0,0.19203518201807965,0.5,0.10621621621621621,0,3307,0,393
asset_tag,AST-2031,hist_gradient_boosting,ok,0.055340043312474684,14560,3640,3700,0.10734890109890109,0.09752747252747253,0.10621621621621621,0.41594594594594597,0.1464,0.9312977099236641,0.253024541997926,0.6570729372731603,0.15069658422205612,1173,2134,27,366
asset_tag,AST-3008,prior,ok,0.0912087912087912,14560,3640,3700,0.0912087912087912,0.09423076923076923,0.08945945945945946,0.08945945945945946,0.08945945945945946,1.0,0.16422723889853635,0.5,0.08945945945945946,0,3369,0,331
asset_tag,AST-3008,hist_gradient_boosting,ok,0.012367915104426929,14560,3640,3700,0.0912087912087912,0.09423076923076923,0.08945945945945946,0.37054054054054053,0.12443609022556391,1.0,0.22133065864259446,0.6545636911631645,0.1252274696470945,1040,2329,0,331
asset_tag,AST-3019,prior,ok,0.08035714285714286,14560,3640,3700,0.08035714285714286,0.07115384615384615,0.08297297297297297,0.08297297297297297,0.08297297297297297,1.0,0.1532318442725231,0.5,0.08297297297297297,0,3393,0,307
asset_tag,AST-3019,hist_gradient_boosting,ok,0.05553112732671553,14560,3640,3700,0.08035714285714286,0.07115384615384615,0.08297297297297297,0.5035135135135135,0.11363636363636363,0.7328990228013029,0.19676432006996064,0.6512406746597469,0.11608625090208265,1638,1755,82,225
asset_tag,AST-4055,prior,ok,0.1161401098901099,14560,3640,3700,0.1161401098901099,0.11236263736263737,0.12378378378378378,0.12378378378378378,0.12378378378378378,1.0,0.2202982202982203,0.5,0.12378378378378378,0,3242,0,458
asset_tag,AST-4055,hist_gradient_boosting,ok,0.037602063856311936,14560,3640,3700,0.1161401098901099,0.11236263736263737,0.12378378378378378,0.40486486486486484,0.17218045112781954,1.0,0.2937780628608082,0.6842627738012818,0.2005567138955872,1040,2202,0,458
asset_tag,AST-4061,prior,ok,0.09251373626373627,14560,3640,3700,0.09251373626373627,0.10137362637362637,0.10432432432432433,0.10432432432432433,0.10432432432432433,1.0,0.18893783651492901,0.5,0.10432432432432433,0,3314,0,386
