scope_kind,scope_name,model,status,threshold,train_rows,valid_rows,test_rows,train_positive_rate,valid_positive_rate,test_positive_rate,accuracy,precision,recall,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive
machine_type,Screw Compressor,prior,ok,0.5341256629631064,25831,6248,6316,0.5341256629631064,0.5395326504481434,0.5763141228625712,0.5763141228625712,0.5763141228625712,1.0,0.7312173563680193,0.5,0.5763141228625712,0,2676,0,3640
machine_type,Screw Compressor,hist_gradient_boosting,ok,0.22946450020739598,25831,6248,6316,0.5341256629631064,0.5395326504481434,0.5763141228625712,0.577580747308423,0.5781350482315113,0.987912087912088,0.7294117647058823,0.5813982962105159,0.6472592086342461,52,2624,44,3596
asset_tag,AST-1041,prior,ok,0.4981578139392079,13028,3172,3252,0.4981578139392079,0.5,0.47017220172201724,0.47017220172201724,0.47017220172201724,1.0,0.6396151432754654,0.5,0.47017220172201724,0,1723,0,1529
asset_tag,AST-1041,hist_gradient_boosting,ok,0.06692204870145023,13028,3172,3252,0.4981578139392079,0.5,0.47017220172201724,0.47017220172201724,0.47017220172201724,1.0,0.6396151432754654,0.5699720284976051,0.5458012866785706,0,1723,0,1529
asset_tag,AST-1042,prior,ok,0.4725542443852303,13135,3208,3262,0.4725542443852303,0.4442019950124688,0.4294911097486205,0.4294911097486205,0.4294911097486205,1.0,0.6009007076989062,0.5,0.4294911097486205,0,1861,0,1401
asset_tag,AST-1042,hist_gradient_boosting,ok,0.1491762795382,13135,3208,3262,0.4725542443852303,0.4442019950124688,0.4294911097486205,0.43010423053341507,0.42971147943523635,0.9992862241256245,0.6009873363382701,0.5493207239321265,0.494603447964935,3,1858,1,1400
asset_tag,AST-2017,prior,ok,0.58880567599527,12685,3072,3131,0.58880567599527,0.5865885416666666,0.5681890769722133,0.5681890769722133,0.5681890769722133,1.0,0.7246435845213849,0.5,0.5681890769722133,0,1352,0,1779
asset_tag,AST-2017,hist_gradient_boosting,ok,0.27167973695186054,12685,3072,3131,0.58880567599527,0.5865885416666666,0.5681890769722133,0.565633982753114,0.5683969964087496,0.9786396852164138,0.7191243287897563,0.49907180584797656,0.5851639313624815,30,1322,38,1741
asset_tag,AST-2031,prior,ok,0.5483369599005284,12868,3159,3184,0.5483369599005284,0.50553972776195,0.5348618090452262,0.5348618090452262,0.5348618090452262,1.0,0.69695109474115,0.5,0.5348618090452262,0,1481,0,1703
asset_tag,AST-2031,hist_gradient_boosting,ok,0.09307438400118234,12868,3159,3184,0.5483369599005284,0.50553972776195,0.5348618090452262,0.5348618090452262,0.5348618090452262,1.0,0.69695109474115,0.5375515979863157,0.5530319349603693,0,1481,0,1703
asset_tag,AST-3008,prior,ok,0.48172174311226434,13103,3171,3236,0.48172174311226434,0.5058341217281614,0.4910383189122373,0.4910383189122373,0.4910383189122373,1.0,0.6586528497409326,0.5,0.4910383189122373,0,1647,0,1589
asset_tag,AST-3008,hist_gradient_boosting,ok,0.16547751808818598,13103,3171,3236,0.48172174311226434,0.5058341217281614,0.4910383189122373,0.4932014833127318,0.49209792376820577,0.9993706733794839,0.659468438538206,0.5431711565892254,0.5244696080119573,8,1639,1,1588
asset_tag,AST-3019,prior,ok,0.4369627507163324,13262,3254,3262,0.4369627507163324,0.4041180086047941,0.4288779889638259,0.4288779889638259,0.4288779889638259,1.0,0.600300364728599,0.5,0.4288779889638259,0,1863,0,1399
asset_tag,AST-3019,hist_gradient_boosting,ok,0.21382529779202206,13262,3254,3262,0.4369627507163324,0.4041180086047941,0.4288779889638259,0.4417535254445126,0.433270082226439,0.9792709077912795,0.6007454505590879,0.5591830603640281,0.4815906405491075,71,1792,29,1370
asset_tag,AST-4055,prior,ok,0.5797442535498548,12747,3108,3122,0.5797442535498548,0.5379665379665379,0.6063420884048687,0.6063420884048687,0.6063420884048687,1.0,0.7549351944167497,0.5,0.6063420884048687,0,1229,0,1893
